Xylose_fermentation_pathways	Rumbact	Rumbact_missing_reactions
Homolactic	0	[['Xylose isomerase'], ['Xylulokinase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2']]
Heterolactic_phosphoketolase	0	[['Xylose isomerase'], ['Xylulokinase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2'], ['Glucose 6-Phosphate Dehydrogenase'], ['6-phosphogluconolactonase'], ['Phosphogluconate dehydrogenase', 'Phosphogluconate dehydrogenase (NAD)'], ['Phosphoketolase (xylulose-5-phosphate utilizing)'], ['Acetaldehyde dehydrogenase (acetylating)'], ['Alcohol dehydrogenase (ethanol)']]
Heterolactic_bifid_shunt	0	[['Xylose isomerase'], ['Xylulokinase'], ['Phosphoketolase (xylulose-5-phosphate utilizing)']]
Succinogenesis_1	0	[['Xylose isomerase'], ['Xylulokinase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2'], ['Malate dehydrogenase'], ['Succinate dehydrogenase', 'Fumarate Reductase NADH'], ['Acetaldehyde dehydrogenase (acetylating)'], ['Alcohol dehydrogenase (ethanol)']]
Succinogenesis_2	0	[['Xylose isomerase'], ['Xylulokinase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2'], ['Malate dehydrogenase'], ['Succinate dehydrogenase', 'Fumarate Reductase NADH']]
Succinogenesis_4	0	[['Xylose isomerase'], ['Xylulokinase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2'], ['Malate dehydrogenase'], ['Succinate dehydrogenase', 'Fumarate Reductase NADH'], ['Pyruvate dehdyrogenase']]
Succinogenesis_4_RNF	0	[['Xylose isomerase'], ['Xylulokinase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2'], ['Malate dehydrogenase'], ['Succinate dehydrogenase', 'Fumarate Reductase NADH']]
Ethanolgenesis	0	[['Xylose isomerase'], ['Xylulokinase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2'], ['Pyruvate decarboxylase'], ['Alcohol dehydrogenase (ethanol)']]
Chain-alongation	0	[['Xylose isomerase'], ['Xylulokinase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2']]
Butyrate_production	0	[['Xylose isomerase'], ['Xylulokinase'], ['Phosphoketolase (xylulose-5-phosphate utilizing)']]
