BiGG Models Name	Rumbact
*Electron Bifurcating Acyl-CoA Dehydrogenase (C4)	1
*Electron Bifurcating Acyl-CoA Dehydrogenase (C6)	1
*Electron Bifurcating Acyl-CoA Dehydrogenase (C8)	1
*Electron Bifurcating Acyl-CoA dehydrogenase (pentanoyl-CoA)	1
*Electron Bifurcating Acyl-CoA dehydrogenase (heptanoyl-CoA)	1
*Hydroxy-Acyl-CoA Thioesterase	1
Energy conserving hydrogenase	0
*Ferredoxin:NAD oxidoreductase (2 protons translocated)	1
Lactose transport via PEP:Pyr PTS	0
Lactose:galactose antiporter	0
Lactose transport via proton symport	0
4-hydroxybutyrate coenzyme a transferase	1
D galactose transport via proton symport	0
Alcohol dehydrogenase (ethanol)	0
3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	1
3-hydroxybutyryl-CoA dehydrogenase (NADP)	1
3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	1
3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	1
3-hydroxyacyl-CoA dehydrogenase (3-oxovaleryl-CoA)	1
D-lactate dehydrogenase	1
Phosphogluconate dehydrogenase (NAD)	0
Glucose 6-phosphate dehydrogenase	0
Malate dehydrogenase	0
Malic Enzyme (NAD)	0
Malic enzyme (NADP)	0
Isocitrate dehydrogenase (NAD)	1
Isocitrate dehydrogenase (NADP)	1
Phosphogluconate dehydrogenase	0
Gamma-hydroxybutyrate dehydrogenase (NADH)	0
Glycerol-3-phosphate dehydrogenase (NAD)	1
Glycerol-3-phosphate dehydrogenase (NADP)	1
(FeFe)-hydrogenase, cytoplasm	1
Ferredoxin---NADP+ reductase	0
Acetaldehyde dehydrogenase (acetylating)	0
Pyruvate dehdyrogenase	0
2-Oxoglutarate dehydrogenase	0
Glyceraldehyde-3-phosphate dehydrogenase	1
Lactaldehyde dehydrogenase	0
Succinate-semialdehyde dehydrogenase (NAD)	0
Aldehyde dehydrogenase (acetaldehyde, NAD)	0
Aldehyde dehydrogenase formaldehyde NAD	0
Succinate-semialdehyde dehydrogenase (NADP)	0
*Pyruvate flavodoxin oxidoreductase	1
2-oxoglutarate ferredoxin oxidoreductase	0
Carbon monoxide dehydrogenase / acetyl-CoA synthase 2	0
Electron bifurcating lactate dehydrogenase	1
Acryloyl-CoA reductase	0
Succinate dehydrogenase	0
Acyl-CoA dehydrogenase (butanoyl-CoA)	1
Acyl-CoA dehydrogenase (hexanoyl-CoA)	1
Acyl-CoA dehydrogenase (octanoyl-CoA)	1
Acyl-CoA dehydrogenase (pentanoyl-CoA)	1
Acyl-CoA dehydrogenase (heptanoyl-CoA)	1
5,10-methylenetetrahydrofolate reductase (NADH)	1
FMN reductase NADPH dependent	0
FMN reductase	0
Methylenetetrahydrofolate dehydrogenase (NADP)	1
NAD(P) transhydrogenase	0
Methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase (MeTr)	1
Methylmalonyl-CoA Carboxyltransferase	0
Transketolase 1	0
Transketolase 2	0
Transaldolase	0
Hexanoyl-CoA:acetyl-CoA C-acyltransferase	1
Acetyl-CoA C-acyltransferase (3-oxovaleryl-CoA)	1
Acetyl-CoA synthase	0
Pyruvate formate lyase	1
Phosphotransacetylase	0
Acetyl-CoA C-acetyltransferase	1
Butanoyl-CoA:acetyl-CoA C-butanoyltransferase	1
Acetyl-CoA C-acyltransferase (3-oxoheptanoyl-CoA)	1
Citrate synthase	1
ATP Citrate Lyase	0
Malate synthase	0
Aspartate transaminase	0
Glucokinase	0
Phosphoenolpyruvate:glycerone phosphotransferase	0
Dihydroxyacetone phosphotransferase	0
Tagatose-6-phosphate kinase	1
Deoxyribokinase	1
Ribokinase	1
Xylulokinase	0
NAD kinase	1
Dihydroxyacetone kinase	1
Glycerol kinase	1
Pyruvate kinase	1
Galactokinase	1
Phosphofructokinase	1
Acetate kinase	1
Phosphoglycerate kinase	1
D-glucose transport via PEP:Pyr PTS	1
Adenylate kinase	1
UDPglucose--hexose-1-phosphate uridylyltransferase	0
Phosphoenolpyruvate synthase	0
Propionate CoA Transferase	0
Succinyl-CoA:acetate CoA transferase	0
Propanoyl-CoA: succinate CoA-transferase	0
*CoA Transferase (C4:0-C2:0)	1
*CoA Transferase (C5:0-C2:0)	1
*CoA Transferase (C6:0-C2:0)	1
*CoA Transferase (C7:0-C2:0)	1
CoA Transferase (C8:0-C2:0)	1
*Acyl-CoA Hydrolase (C6:0)	0
*Acyl-CoA Hydrolase (C7:0)	0
*Acyl-CoA Hydrolase (C8:0)	0
*Acyl-CoA Hydrolase (C4:0)	0
