UniProt ID	Rumbact
P08997	0
P0ABA4	0
P0A7B3	1
P52643	1
A0A6L5GPD6	1
P77366	2
P0AD61	1
A0A6N7IYC5	0
G3KIM4	0
Q6F494	1
A0A6L5GQN4	1
P0A6E6	0
P02920	0
P27550	0
P0AGE9	0
P0A9V8	0
P08200	1
P52697	0
P9WID7	2
P23495	1
A0A6N7J0W2	1
Q9HUU1	0
P23494	1
P37387	1
A0A6N7IZF8	1
P0ABA6	0
P0AB71	1
P0A7A9	0
P52043	0
O52682	0
G3KIM3	0
A0A6N7IY41	1
Q8ZPV9	0
O52683	1
P25553	0
A0A6N7J0N4	1
P0AB74	1
P0A7Z0	0
P0A796	2
O52681	0
P0AG07	1
P46154	0
A0A6N7J1B3	1
A0A6N7J178	0
P0AFG3	0
P38942	2
P22259	0
P0A283	3
P00944	0
P39451	0
P0ADF6	1
P0A9J6	1
P0A731	1
A0A6L5GP40	1
B8I0V5	0
P26616	0
Q8L388	0
P75893	0
P0A867	0
P17596	0
P27253	0
P09147	1
P0A9G6	0
A0A6N7J0I1	0
A0A6N7J2P1	1
A0A6N7J2R9	2
P0AFG6	0
P25526	0
A0A6N7IYD6	0
P0A858	1
G0VND6	0
P69330	0
P17413	0
P0A9I1	0
P25516	0
P0A8Z0	0
P0AC44	0
B3EY95	0
Q9AEM9	0
P17412	0
P00350	0
P0A9P0	0
P69441	1
P75726	0
P42405	0
P09148	0
P0AEZ1	1
P24186	1
P94692	1
P27302	0
P75849	1
P0AC53	0
P0AC84	0
P0A6L0	1
P0AFG8	0
P33570	0
A0A6N7IZ71	1
P42404	0
P0A9Q5	1
Q8GBW6	0
P0ABH7	2
P00343	1
P09373	1
P76558	0
P21164	1
P62707	0
P76014	1
P07014	0
P0A6A3	1
A0A6N7J003	0
P69054	0
A0A0H3JRU9	0
P0A6T3	1
P0AC81	0
P76149	0
P27306	0
P76015	1
P77445	0
P0ABD5	0
A0A6N7IZA1	2
P55792	0
A0A6N7J0S6	2
P0A6T1	0
P0AC41	0
P0A6V8	0
G5EBD7	0
A0A6N7J161	2
Q70AC7	0
C7N8L9	1
P26646	0
P00722	0
P80644	0
F9USS9	1
P0A836	0
P11411	0
P0AC33	0
P00509	0
P0A6F3	1
P00864	0
P0ABB0	0
O53182	0
P06959	0
P0AEP1	0
P0A955	0
P0A799	1
P69783	3
P11162	0
P0A6K6	1
A0A6L5GQT1	1
P61889	0
Q5LUF3	0
P77580	0
P0A9C3	1
P0A9M8	0
O53181	0
P06999	2
P0AGI4	0
P0A763	0
P0A993	0
P69786	2
P09099	0
Q3IZP4	0
P0A6P9	1
P37349	0
P0A9B2	1
P23936	0
Q46389	1
P0ABB4	1
P28861	0
A0A6N7J249	1
A0A6N7IYC8	0
P0A6S7	1
P37388	2
P02904	0
P0A991	0
P23538	0
P31896	0
