Xylose_fermentation_pathways	Rumbact	Rumbact_missing_reactions
Homolactic	0	[['Xylose isomerase'], ['Xylulokinase'], ['Ribose-5-phosphate isomerase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2'], ['Phosphoglycerate mutase']]
Heterolactic_phosphoketolase	0	[['Xylose isomerase'], ['Xylulokinase'], ['Ribose-5-phosphate isomerase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2'], ['Glucose-6-phosphate isomerase'], ['Glucose 6-Phosphate Dehydrogenase'], ['6-phosphogluconolactonase'], ['Phosphogluconate dehydrogenase', 'Phosphogluconate dehydrogenase (NAD)'], ['Phosphoketolase (xylulose-5-phosphate utilizing)'], ['Phosphotransacetylase'], ['Acetaldehyde dehydrogenase (acetylating)'], ['Alcohol dehydrogenase (ethanol)'], ['Phosphoglycerate mutase']]
Heterolactic_bifid_shunt	0	[['Xylose isomerase'], ['Xylulokinase'], ['Phosphoketolase (xylulose-5-phosphate utilizing)'], ['Phosphotransacetylase'], ['Phosphoglycerate mutase']]
Succinogenesis_1	0	[['Xylose isomerase'], ['Xylulokinase'], ['Ribose-5-phosphate isomerase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2'], ['Fructose-bisphosphate aldolase'], ['Phosphoglycerate mutase'], ['Malate dehydrogenase'], ['Fumarase'], ['Succinate dehydrogenase', 'Fumarate Reductase NADH'], ['Acetaldehyde dehydrogenase (acetylating)'], ['Alcohol dehydrogenase (ethanol)']]
Succinogenesis_2	0	[['Xylose isomerase'], ['Xylulokinase'], ['Ribose-5-phosphate isomerase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2'], ['Fructose-bisphosphate aldolase'], ['Phosphoglycerate mutase'], ['Malate dehydrogenase'], ['Fumarase'], ['Succinate dehydrogenase', 'Fumarate Reductase NADH'], ['Phosphotransacetylase']]
Succinogenesis_4	0	[['Xylose isomerase'], ['Xylulokinase'], ['Ribose-5-phosphate isomerase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2'], ['Fructose-bisphosphate aldolase'], ['Phosphoglycerate mutase'], ['Malate dehydrogenase'], ['Fumarase'], ['Succinate dehydrogenase', 'Fumarate Reductase NADH'], ['Pyruvate dehdyrogenase'], ['Phosphotransacetylase']]
Succinogenesis_4_RNF	0	[['Xylose isomerase'], ['Xylulokinase'], ['Ribose-5-phosphate isomerase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2'], ['Fructose-bisphosphate aldolase'], ['Phosphoglycerate mutase'], ['Malate dehydrogenase'], ['Fumarase'], ['Succinate dehydrogenase', 'Fumarate Reductase NADH'], ['Phosphotransacetylase']]
Ethanolgenesis	0	[['Xylose isomerase'], ['Xylulokinase'], ['Ribose-5-phosphate isomerase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2'], ['Phosphoglycerate mutase'], ['Pyruvate decarboxylase'], ['Alcohol dehydrogenase (ethanol)']]
Chain-alongation	0	[['Xylose isomerase'], ['Xylulokinase'], ['Ribose-5-phosphate isomerase'], ['Transketolase 1'], ['Transaldolase'], ['Transketolase 2'], ['Phosphoglycerate mutase']]
Butyrate_production	0	[['Xylose isomerase'], ['Xylulokinase'], ['Phosphoketolase (xylulose-5-phosphate utilizing)'], ['Phosphotransacetylase'], ['Phosphoglycerate mutase']]
