Reaction ID	Reaction Name	Enzyme comission number	Ferredoxin oxidizing	UniProt ID	UniProt name	
EBACD1	*Electron Bifurcating Acyl-CoA Dehydrogenase (C4)		Yes	A0A6L5GPD6	Electron transfer flavoprotein subunit beta/FixA family protein	
EBACD2	*Electron Bifurcating Acyl-CoA Dehydrogenase (C6)		Yes	A0A6L5GPD6	Electron transfer flavoprotein subunit beta/FixA family protein	
EBACD3	*Electron Bifurcating Acyl-CoA Dehydrogenase (C8)		Yes	A0A6L5GPD6	Electron transfer flavoprotein subunit beta/FixA family protein	
EBVCD	*Electron Bifurcating Acyl-CoA dehydrogenase (pentanoyl-CoA)		Yes	A0A6L5GPD6	Electron transfer flavoprotein subunit beta/FixA family protein	
EBVCD2	*Electron Bifurcating Acyl-CoA dehydrogenase (heptanoyl-CoA)		Yes	A0A6L5GPD6	Electron transfer flavoprotein subunit beta/FixA family protein	
EBACD1	*Electron Bifurcating Acyl-CoA Dehydrogenase (C4)		Yes	A0A6L5GQN4	Electron transfer flavoprotein subunit alpha/FixB family protein	
EBACD2	*Electron Bifurcating Acyl-CoA Dehydrogenase (C6)		Yes	A0A6L5GQN4	Electron transfer flavoprotein subunit alpha/FixB family protein	
EBACD3	*Electron Bifurcating Acyl-CoA Dehydrogenase (C8)		Yes	A0A6L5GQN4	Electron transfer flavoprotein subunit alpha/FixB family protein	
EBVCD	*Electron Bifurcating Acyl-CoA dehydrogenase (pentanoyl-CoA)		Yes	A0A6L5GQN4	Electron transfer flavoprotein subunit alpha/FixB family protein	
EBVCD2	*Electron Bifurcating Acyl-CoA dehydrogenase (heptanoyl-CoA)		Yes	A0A6L5GQN4	Electron transfer flavoprotein subunit alpha/FixB family protein	
HACT	*Hydroxy-Acyl-CoA Thioesterase			A0A6N7IY41	Thioesterase	
ECH	Energy conserving hydrogenase		Yes	A0A6N7IYC5	NADH-quinone oxidoreductase subunit NuoB (EC 1.6.5.11)	
ECH	Energy conserving hydrogenase		Yes	A0A6N7IYC8	NADH-quinone oxidoreductase subunit C	
ECH	Energy conserving hydrogenase		Yes	A0A6N7IYD6	NADH-quinone oxidoreductase subunit D	
RNF1	*Ferredoxin:NAD oxidoreductase (2 protons translocated)	7.2.1.2 or 1.18.1.8	Yes	A0A6N7IZ71	Ion-translocating oxidoreductase complex subunit B (EC 7.-.-.-) (Rnf electron transport complex subunit B)	
RNF1	*Ferredoxin:NAD oxidoreductase (2 protons translocated)	7.2.1.2 or 1.18.1.8	Yes	A0A6N7IZA1	Ion-translocating oxidoreductase complex subunit E (EC 7.-.-.-) (Rnf electron transport complex subunit E)	
RNF1	*Ferredoxin:NAD oxidoreductase (2 protons translocated)	7.2.1.2 or 1.18.1.8	Yes	A0A6N7IZF8	Ion-translocating oxidoreductase complex subunit D (EC 7.-.-.-) (Rnf electron transport complex subunit D)	
ECH	Energy conserving hydrogenase		Yes	A0A6N7J003	4Fe-4S dicluster domain-containing protein	
ECH	Energy conserving hydrogenase		Yes	A0A6N7J0I1	NADH-quinone oxidoreductase subunit H	
RNF1	*Ferredoxin:NAD oxidoreductase (2 protons translocated)	7.2.1.2 or 1.18.1.8	Yes	A0A6N7J0N4	Ion-translocating oxidoreductase complex subunit G (EC 7.-.-.-) (Rnf electron transport complex subunit G)	
RNF1	*Ferredoxin:NAD oxidoreductase (2 protons translocated)	7.2.1.2 or 1.18.1.8	Yes	A0A6N7J0S6	Ion-translocating oxidoreductase complex subunit A (EC 7.-.-.-) (Rnf electron transport complex subunit A)	
RNF1	*Ferredoxin:NAD oxidoreductase (2 protons translocated)	7.2.1.2 or 1.18.1.8	Yes	A0A6N7J0W2	Ion-translocating oxidoreductase complex subunit C (EC 7.-.-.-) (Rnf electron transport complex subunit C)	
ECH	Energy conserving hydrogenase		Yes	A0A6N7J178	NADH-quinone oxidoreductase subunit L	
EBACD1	*Electron Bifurcating Acyl-CoA Dehydrogenase (C4)		Yes	A0A6N7J2R9	Acyl-CoA dehydrogenase	
EBACD2	*Electron Bifurcating Acyl-CoA Dehydrogenase (C6)		Yes	A0A6N7J2R9	Acyl-CoA dehydrogenase	
EBACD3	*Electron Bifurcating Acyl-CoA Dehydrogenase (C8)		Yes	A0A6N7J2R9	Acyl-CoA dehydrogenase	
EBVCD	*Electron Bifurcating Acyl-CoA dehydrogenase (pentanoyl-CoA)		Yes	A0A6N7J2R9	Acyl-CoA dehydrogenase	
EBVCD2	*Electron Bifurcating Acyl-CoA dehydrogenase (heptanoyl-CoA)		Yes	A0A6N7J2R9	Acyl-CoA dehydrogenase	
LACpts	Lactose transport via PEP:Pyr PTS			P0A283	PTS system glucose-specific EIIA component (EIIA-Glc) (EIII-Glc) (Glucose-specific phosphotransferase enzyme IIA component)	
LACpts	Lactose transport via PEP:Pyr PTS			P11162	PTS system lactose-specific EIICB component (EIICB-Lac) (EII-Lac) [Includes: PTS system lactose-specific EIIC component (Lactose permease IIC component); PTS system lactose-specific EIIB component (EC 2.7.1.207) (Lactose-specific phosphotransferase enzyme IIB component)]	
LCTSGALa	Lactose:galactose antiporter			P23936	Lactose permease (Lactose transport protein) (Lactose-proton symporter) [Includes: Putative phosphotransferase enzyme IIA component (EC 2.7.1.-) (Putative PTS system EIIA component)]	
LCTSt	Lactose transport via proton symport			P23936	Lactose permease (Lactose transport protein) (Lactose-proton symporter) [Includes: Putative phosphotransferase enzyme IIA component (EC 2.7.1.-) (Putative PTS system EIIA component)]	
GHBCOAT	4-hydroxybutyrate coenzyme a transferase			P38942	4-hydroxybutyrate coenzyme A transferase (EC 2.8.3.-)	
GALt2	D galactose transport via proton symport			P0AEP1	Galactose-proton symporter (Galactose transporter)	
LCTSt	Lactose transport via proton symport			P02920	Lactose permease (Lactose-proton symport)	
ALCD2x	Alcohol dehydrogenase (ethanol)	1.1.1.1		P39451	"Alcohol dehydrogenase, propanol-preferring (EC 1.1.1.1)"	
HACD1	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	1.1.1.157		A0A6N7J1B3	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	
HACD1a	3-hydroxybutyryl-CoA dehydrogenase (NADP)	1.1.1.157		A0A6N7J1B3	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	
HACD2	3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	1.1.1.157		A0A6N7J1B3	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	
HACD3	3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	1.1.1.157		A0A6N7J1B3	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	
HVCD	3-hydroxyacyl-CoA dehydrogenase (3-oxovaleryl-CoA)	1.1.1.157		A0A6N7J1B3	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	
LDH-D	D-lactate dehydrogenase	1.1.1.28		P52643	D-lactate dehydrogenase (D-LDH) (EC 1.1.1.28) (Fermentative lactate dehydrogenase)	
GND_nad	Phosphogluconate dehydrogenase (NAD)	1.1.1.343		G5EBD7	"6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating (6PGDH) (EC 1.1.1.343)"	
G6PDH2r	Glucose 6-phosphate dehydrogenase	1.1.1.363 or 1.1.1.49		P0AC53	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49) [Cleaved into: Extracellular death factor (EDF)]	
MDH	Malate dehydrogenase	1.1.1.37 or 1.1.1.38		P61889	Malate dehydrogenase (EC 1.1.1.37)	
ME1	Malic Enzyme (NAD)	1.1.1.39		P26616	NAD-dependent malic enzyme (NAD-ME) (EC 1.1.1.38)	
ME2	Malic enzyme (NADP)	1.1.1.40		P76558	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40)	
ICDHx	Isocitrate dehydrogenase (NAD)	1.1.1.41 or 1.1.1.42		P08200	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	
ICDHyr	Isocitrate dehydrogenase (NADP)	1.1.1.42		P08200	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	
GND	Phosphogluconate dehydrogenase	1.1.1.44		P00350	"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"	
GHBDHx	Gamma-hydroxybutyrate dehydrogenase (NADH)	1.1.1.61		P0A9V8	3-sulfolactaldehyde reductase (SLA reductase) (EC 1.1.1.373) (4-hydroxybutyrate dehydrogenase) (EC 1.1.1.61) (Gamma-hydroxybutyrate dehydrogenase) (GHBDH) (Succinic semialdehyde reductase) (SSA reductase)	
G3PD1	Glycerol-3-phosphate dehydrogenase (NAD)	1.1.1.94		P0A6S7	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	
G3PD2	Glycerol-3-phosphate dehydrogenase (NADP)	1.1.1.94		P0A6S7	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	
HYD1	"(FeFe)-hydrogenase, cytoplasm"	1.12.7.2	Yes	A0A6L5GP40	4Fe-4S dicluster domain-containing protein	
